Lat,Lon,City,Country Code,Max Temp,Humidity,Cloudiness,Wind Speed
-17.57,21.28,shakawe,bw,70.64,86.0,64.0,4.29
44.43,12.44,cervia,it,40.98,93.0,90.0,5.08
8.85,-77.05,acandi,co,85.26,71.0,0.0,4.18
40.41,112.99,fengzhen,cn,-13.07,54.0,0.0,3.29
11.42,-92.81,champerico,gt,69.8,60.0,75.0,25.28
66.5,-148.96,college,us,-17.2,82.0,75.0,1.28
-40.64,141.67,portland,au,47.07,81.0,90.0,5.41
-9.75,-37.71,caninde de sao francisco,br,74.24,93.0,44.0,2.62
33.0,46.98,dehloran,ir,35.13,71.0,0.0,3.62
-1.64,-57.34,nhamunda,br,88.95,60.0,8.0,3.62
-27.36,-61.76,presidencia roque saenz pena,ar,88.23,72.0,12.0,10.89
34.02,-96.09,durant,us,51.84,34.0,1.0,12.75
28.81,-107.0,anahuac,mx,55.65,26.0,1.0,5.82
3.95,26.29,obo,cf,66.14,59.0,0.0,10.67
37.88,-22.62,vila franca do campo,pt,57.2,82.0,75.0,10.29
-26.05,-53.15,francisco beltrao,br,80.72,75.0,44.0,4.41
61.19,-146.67,palmer,us,59.0,62.0,75.0,12.75
47.38,-78.47,malartic,ca,-0.28,70.0,75.0,9.17
37.31,120.62,qixia,cn,5.93,58.0,24.0,2.62
68.25,86.0,igarka,ru,7.68,76.0,76.0,8.77
31.84,-56.49,saint george,bm,44.6,87.0,0.0,8.05
15.11,5.55,tahoua,ne,70.41,26.0,36.0,13.47
5.65,22.08,bria,cf,68.61,49.0,0.0,11.12
44.4,-72.64,stowe,us,18.12,61.0,1.0,11.41
8.13,-22.7,praia,cv,81.57,69.0,75.0,3.36
-41.41,-60.64,viedma,ar,77.12,20.0,0.0,14.03
62.67,101.03,tura,ru,47.46,78.0,0.0,2.62
-24.16,-78.16,taltal,cl,69.78,59.0,56.0,4.52
7.81,37.6,areka,et,68.43,44.0,80.0,4.29
61.84,-4.71,klaksvik,fo,33.8,98.0,44.0,6.08
46.62,131.39,baoshan,cn,32.0,91.0,88.0,2.24
-17.72,-170.19,alofi,nu,80.6,88.0,92.0,11.41
21.74,83.19,sarangarh,in,52.82,64.0,0.0,3.4
